sequence,bid,t,role,tag,title,meaning,next_options
1C-1NT,1C-1NT,1♣-1NT,responder,natural,自然的且不逼叫,7-10点均型无4张高花,不逼叫,2C:4张♣弱牌|2D:6张+♦16-18|2H:4张♥|2S:4张♠|2NT:18-22均型
1C-2D,1C-2D,1♣-2♦,responder,natural forcing,5张+♦套10+点,10+大牌点5张以上♦套无4张高花逼叫一轮,2H:4张♥|2S:4张♠|2NT:18-22均型|3D:好6张+♦16-18|3NT:赌博式
1C-2H,1C-2H,1♣-2♥,responder,natural game forcing,好5张+♥进局逼,好5张或6张以上♥套进局逼叫,
1C-2S,1C-2S,1♣-2♠,responder,natural game forcing,好5张+♠进局逼,好5张或6张以上♠套进局逼叫,
1C-2NT,1C-2NT,1♣-2NT,responder,natural invitational,均型11-12点邀叫,11-12点均型无4张高花邀叫进局,
1C-3NT,1C-3NT,1♣-3NT,responder,game,13-15点均型封局,13-15点均型封3NT,
1D-1H,1D-1H,1♦-1♥,responder,natural forcing,实套且逼叫,应叫者4张♥实套逼叫,1S:4张♠|1NT:无将特征|2H:4张支持|2S:6张+♠强套|2NT:好牌均型|3H:好13-15点
1D-1S,1D-1S,1♦-1♠,responder,natural forcing,实套且逼叫,应叫者4张♠实套逼叫,1NT:无将特征|2S:4张支持|2C:4张♣|2NT:好牌均型|3S:好13-15点
1D-1NT,1D-1NT,1♦-1NT,responder,natural,无4张高花7-10点,7-10点均型无4张高花不逼叫,
1D-2C,1D-2C,1♦-2♣,responder,natural forcing,5张+♣10+点,5张以上♣套10+点逼叫一轮,
1D-2H,1D-2H,1♦-2♥,responder,natural game forcing,好5张+♥进局逼,好5张或6张以上♥进局逼叫,
1D-2S,1D-2S,1♦-2♠,responder,natural game forcing,好5张+♠进局逼,好5张或6张以上♠进局逼叫,
1D-2NT,1D-2NT,1♦-2NT,responder,natural invitational,均型11-12点邀叫,均型11-12点邀叫,
1H-1S,1H-1S,1♥-1♠,responder,natural forcing,4张♠7+点,4张♠7+点逼叫一轮,1NT:无将特征|2S:4张支持|2C:4张♣|2NT:好牌均型|3S:好13-15点
1H-1NT,1H-1NT,1♥-1NT,responder,natural,无4张♠7-10点,无4张♠7-10点均型,
1H-2C,1H-2C,1♥-2♣,responder,natural forcing,5张+♣10+点,5张以上♣套10+点,
1H-2D,1H-2D,1♥-2♦,responder,natural forcing,5张+♦10+点,5张以上♦套10+点,
1H-2H,1H-2H,1♥-2♥,responder,natural,4张支持6-10点,对♥有4张支持6-10点不逼叫,
1H-2S,1H-2S,1♥-2♠,responder,natural game forcing,好5张+♠进局逼,好5张以上♠进局逼叫,
1H-2NT,1H-2NT,1♥-2NT,responder,natural invitational,均型11-12点邀叫,均型11-12点邀叫,
1H-3H,1H-3H,1♥-3♥,responder,natural,好13-15点4张支持,好13-15点4张支持,
1S-1NT,1S-1NT,1♠-1NT,responder,natural,无4张♠7-10点,无4张♠7-10点均型,
1S-2C,1S-2C,1♠-2♣,responder,natural forcing,5张+♣10+点,5张以上♣套10+点,
1S-2D,1S-2D,1♠-2♦,responder,natural forcing,5张+♦10+点,5张以上♦套10+点,
1S-2H,1S-2H,1♠-2♥,responder,natural forcing,4张♥10+点询双高,4张♥10+点询问是否有双高套,
1S-2S,1S-2S,1♠-2♠,responder,natural,4张支持6-10点,对♠有4张支持6-10点,
1S-2NT,1S-2NT,1♠-2NT,responder,natural invitational,均型11-12点邀叫,均型11-12点邀叫,
1S-3S,1S-3S,1♠-3♠,responder,natural,好13-15点4张支持,好13-15点4张支持,
1NT-2C,1NT-2C,1NT-2♣,responder,artificial forcing,斯台曼问高花,询问开叫者是否有4张高花套,2D:答叫有4张高花(2♥=4张♥2♠=4张♠)|2NT:无4张高花|3m:无4张高花
1NT-2D,1NT-2D,1NT-2♦,responder,artificial forcing,转移到♥,应叫者持5张♥要求开叫者叫2♥,
1NT-2H,1NT-2H,1NT-2♥,responder,artificial forcing,转移到♠,应叫者持5张♠要求开叫者叫2♠,
1NT-2S,1NT-2S,1NT-2♠,responder,natural,5张♠自然,5张♠自然应叫,
1NT-2NT,1NT-2NT,1NT-2NT,responder,artificial forcing,转移到♣,应叫者持5张♣要求开叫者叫3♣,
1NT-3C,1NT-3C,1NT-3♣,responder,natural invitational,好6张♣套邀叫,好6张♣套邀叫实力,
1NT-3D,1NT-3D,1NT-3♦,responder,natural invitational,好6张♦套邀叫,好6张♦套邀叫实力,
1NT-3H,1NT-3H,1NT-3♥,responder,game forcing,低花5-4♣单缺进局逼,低花5-4/4-5♣单缺进局逼叫,
1NT-3S,1NT-3S,1NT-3♠,responder,game forcing,低花5-4♦单缺进局逼,低花5-4/4-5♦单缺进局逼叫,
1NT-3NT,1NT-3NT,1NT-3NT,responder,game,封3NT,13-15点均型封3NT,
2C-2D,2C-2D,2♣-2♦,responder,weak,等待应叫,应叫者没有立即回答手段等待开叫者描述牌情,
2C-2H,2C-2H,2♣-2♥,responder,natural forcing,4张♥7+点,4张♥7+点,
2C-2S,2C-2S,2♣-2♠,responder,natural forcing,4张♠7+点,4张♠7+点,
2C-2NT,2C-2NT,2♣-2NT,responder,natural,均型0-7点,0-7点均型不知如何应叫时的保守选择,
